tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt1244666,2009,Narcisse Award,Best Feature Film,True,True,Fish Story,nm1327703,Yoshihiro Nakamura,Fish Story,2009.0,Others,14999
tt0870984,2009,Narcisse Award,Best Feature Film,False,True,Antichrist,nm0001885,Lars von Trier,Antichrist,2009.0,Drama,9199968
tt1355623,2009,Narcisse Award,Best Feature Film,False,False,Bluebeard,nm0106924,Catherine Breillat,Bluebeard,2009.0,Others,86508
tt1104814,2009,Narcisse Award,Best Feature Film,False,False,Coffin Rock,nm1514327,Rupert Glasson,Coffin Rock,2009.0,Drama,10731
tt0893402,2009,Narcisse Award,Best Feature Film,False,False,Franklyn,nm0573389,Gerald McMorrow,Franklyn,2009.0,Drama,1511547
tt1220213,2009,Narcisse Award,Best Feature Film,False,False,Grace,nm2099491,Paul Solet,Grace,2009.0,Drama,20083
tt1433562,2009,Narcisse Award,Best Feature Film,False,False,High Lane,nm1125872,Abel Ferry,High Lane,2009.0,Others,2193535
tt1020543,2009,Narcisse Award,Best Feature Film,False,True,Infestation,nm0710272,Kyle Rankin,Infestation,2009.0,Others,43450
tt0940723,2009,Narcisse Award,Best Feature Film,False,True,Left Bank,nm0887068,Pieter Van Hees,Left Bank,2008.0,Drama,435079
tt1182345,2009,Narcisse Award,Best Feature Film,False,False,Moon,nm1512910,Duncan Jones,Moon,2009.0,Drama,17527256
tt0380249,2009,Narcisse Award,Best Feature Film,False,False,Tears for Sale,nm1452689,Uros Stojanovic,Tears for Sale,2008.0,Comedy,815080
tt1172571,2009,Narcisse Award,Best Feature Film,False,False,The Children,nm0788191,Tom Shankland,The Children,2009.0,Others,1449134
tt1100053,2009,Narcisse Award,Best Feature Film,False,False,Tormented,nm1229323,Jon Wright,Tormented,2009.0,Comedy,1610824
tt1156506,2009,Audience Award,,True,True,Connected,nm0150802,Benny Chan,Connected,2008.0,Others,11493083
tt1279943,2009,Best Asian Movie,,True,True,The Handsome Suit,nm3108153,Tsutomu Hanabusa,The Handsome Suit,2008.0,Comedy,11690681
tt1191111,2010,Narcisse Award,Best Feature Film,True,False,Enter the Void,nm0637615,Gaspar Noé,Enter the Void,2010.0,Drama,1286326
tt1181791,2010,Narcisse Award,Best Feature Film,False,True,Black Death,nm1247462,Christopher Smith,Black Death,2010.0,Others,473719
tt1407972,2010,Narcisse Award,Best Feature Film,False,True,Dream Home,nm1001051,Ho-Cheung Pang,Dream Home,2010.0,Others,448627
