tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt5280652,2016,Michel Award,,False,False,Rauf,nm4446337,Soner Caner,Rauf,2016.0,Drama,3142
tt4861720,2016,Michel Award,,False,False,Siv sover vilse,nm0249188,Catti Edfeldt,Siv sover vilse,2016.0,Others,8084
tt4008758,2016,Political Film Award,,False,False,Black,nm4816401,Adil El Arbi,Black,2016.0,Others,1816578
tt5124774,2016,Political Film Award,,False,False,The Confession,nm3500171,Ashish Ghadiali,The Confession,2016.0,Others,1608722
tt5623224,2016,Political Film Award,,False,False,The Long Night of Francisco Sanctis,nm0617305,Francisco Márquez,The Long Night of Francisco Sanctis,2017.0,Drama,28063
tt4940780,2016,Political Film Award,,False,False,The Mine,nm1167412,Aleksi Salmenperä,The Mine,2016.0,Drama,432037
tt5278596,2016,Political Film Award,,False,False,Weiner,nm4361978,Josh Kriegman,Weiner,2016.0,Others,3608369
tt5204020,2016,Hamburg Producers Award,German-European Cinematic Productions,True,True,Scarred Hearts,nm0011752,Maren Ade,Scarred Hearts,2018.0,Others,14041
tt5790492,2017,Audience Award,,True,True,It's for Your Own Good,nm1724912,Carlos Therón,It's for Your Own Good,2017.0,Comedy,11397174
tt4125568,2017,Audience Award,,False,False,A Canção de Lisboa,nm1659256,Pedro Varela,A Canção de Lisboa,2016.0,Comedy,1121273
tt5926392,2017,Audience Award,,False,False,Cruelty,nm5464408,Anton Sigurdsson,Cruelty,2016.0,Others,162378
tt5351818,2017,Audience Award,,False,False,Rock'n Roll,nm0133899,Guillaume Canet,Rock'n Roll,2017.0,Comedy,10120685
tt6359118,2017,Audience Award,,False,False,Solitaire,nm8664249,Sophie Boutros,Solitaire,2017.0,Comedy,147996
tt5194504,2017,Audience Award,,False,False,You Disappear,nm0283844,Peter Schønau Fog,You Disappear,2018.0,Drama,1324
tt6303866,2017,Young Talent Award,Best Feature Film,True,True,Beach Rats,nm2151374,Eliza Hittman,Beach Rats,2017.0,Drama,1010656
tt5791966,2017,Young Talent Award,Best Feature Film,False,False,Balloons,nm2156120,Mariano González,Balloons,2016.0,Drama,1495
tt5837242,2017,Young Talent Award,Best Feature Film,False,False,How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,nm8244607,Aleksandr Khant,How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,2018.0,Others,128027
tt5598160,2017,Young Talent Award,Best Feature Film,False,False,Jeune femme,nm4874872,Léonor Serraille,Montparnasse Bienvenüe,2017.0,Drama,439010
tt7089738,2017,Young Talent Award,Best Feature Film,False,False,Marita,nm4420624,Cristi Iftime,Marita,2017.0,Drama,9839
tt6207878,2017,Young Talent Award,Best Feature Film,False,False,"No Date, No Signature",nm7522225,Vahid Jalilvand,"No Date, No Signature",2018.0,Drama,145752
tt4625324,2017,Young Talent Award,Best Feature Film,False,True,Satan Said Dance,nm3106449,Katarzyna Roslaniec,Satan Said Dance,2017.0,Drama,141929
tt4830786,2017,Young Talent Award,Best Feature Film,False,False,The Cakemaker,nm3409787,Ofir Raul Graizer,The Cakemaker,2017.0,Drama,2241243
tt5649144,2017,Critics Award,,True,True,The Florida Project,nm0048918,Sean Baker,The Florida Project,2017.0,Drama,17483539
tt6776462,2017,Critics Award,,False,False,A Man of Integrity,nm1488024,Mohammad Rasoulof,A Man of Integrity,2017.0,Drama,947435
tt7205208,2017,Critics Award,,False,False,Angels Wear White,nm2735954,Vivian Qu,Angels Wear White,2018.0,Drama,3428371
tt6400280,2017,Critics Award,,False,False,Araby,nm7925042,João Dumans,Araby,2017.0,Drama,80498
tt6411984,2017,Critics Award,,False,False,Barbara,nm0023832,Mathieu Amalric,Barbara,2018.0,Others,3331148
tt5708028,2017,Critics Award,,False,False,Cocote,nm4981904,Nelson Carlo de Los Santos Arias,Cocote,2018.0,Drama,8250
tt6288250,2017,Critics Award,,False,False,Patti Cake$,nm3017455,Geremy Jasper,Patti Cake$,2017.0,Drama,2375740
tt5765144,2017,Critics Award,,False,False,Song of Granite,nm2919747,Pat Collins,Song of Granite,2017.0,Others,38881
tt4995790,2017,Critics Award,,False,False,The Square,nm1128037,Ruben Östlund,The Square,2017.0,Comedy,11387664
tt5057904,2017,Critics Award,,False,False,Tomorrow and Thereafter,nm0527852,Noémie Lvovsky,Tomorrow and Thereafter,2017.0,Drama,250754
tt6217608,2017,Art Cinema Award,Best Feature,True,True,The Rider,nm2125482,Chloé Zhao,The Rider,2018.0,Drama,5898077
tt6135348,2017,Art Cinema Award,Best Feature,False,False,BPM (Beats Per Minute),nm5187778,Robert Campillo,BPM (Beats Per Minute),2017.0,Drama,8111584
tt6209282,2017,Art Cinema Award,Best Feature,False,False,Ex Libris: New York Public Library,nm0936464,Frederick Wiseman,Ex Libris: The New York Public Library,2017.0,Others,369036
tt6573444,2017,Art Cinema Award,Best Feature,False,False,Human Flow,nm2675885,Weiwei Ai,Human Flow,2017.0,Others,2393049
tt5907748,2017,Art Cinema Award,Best Feature,False,False,Iceman,nm0709726,Felix Randau,Der Mann aus dem Eis,2019.0,Drama,8857
tt5859238,2017,Art Cinema Award,Best Feature,False,False,Lucky,nm0002253,John Carroll Lynch,Lucky,2017.0,Comedy,2917340
tt5584756,2017,Art Cinema Award,Best Feature,False,False,Mademoiselle Paradis,nm0016475,Barbara Albert,Mademoiselle Paradis,2018.0,Drama,17895
